No. of Conv Layers,Dropout Rate,Optimizer,Accuracy
2,0.0,SGD,40.02
2,0.0,ADAM,15.04
2,0.0,RMSProp,1.0
2,0.2,SGD,41.42
2,0.2,ADAM,16.11
2,0.2,RMSProp,1.0
2,0.4,SGD,39.33
2,0.4,ADAM,1.0
2,0.4,RMSProp,1.0
2,0.6,SGD,27.42
2,0.6,ADAM,1.0
2,0.6,RMSProp,1.0
3,0.0,SGD,42.59
3,0.0,ADAM,1.0
3,0.0,RMSProp,1.0
3,0.2,SGD,42.31
3,0.2,ADAM,1.0
3,0.2,RMSProp,1.0
3,0.4,SGD,32.96
3,0.4,ADAM,6.0
3,0.4,RMSProp,1.0
3,0.6,SGD,5.89
3,0.6,ADAM,1.0
3,0.6,RMSProp,1.0
4,0.0,SGD,43.19
4,0.0,ADAM,1.0
4,0.0,RMSProp,1.0
4,0.2,SGD,41.6
4,0.2,ADAM,8.87
4,0.2,RMSProp,1.0
4,0.4,SGD,26.45
4,0.4,ADAM,1.0
4,0.4,RMSProp,1.0
4,0.6,SGD,3.1
4,0.6,ADAM,1.0
4,0.6,RMSProp,1.0
