No. of Conv Layers,Dropout Rate,Optimizer,Accuracy
2,0,SGD,
2,0,ADAM,
2,0,RMSProp,
2,0.2,SGD,
2,0.2,ADAM,
2,0.2,RMSProp,
2,0.4,SGD,
2,0.4,ADAM,
2,0.4,RMSProp,
2,0.6,SGD,
2,0.6,ADAM,
2,0.6,RMSProp,
3,0,SGD,
3,0,ADAM,
3,0,RMSProp,
3,0.2,SGD,
3,0.2,ADAM,
3,0.2,RMSProp,
3,0.4,SGD,
3,0.4,ADAM,
3,0.4,RMSProp,
3,0.6,SGD,
3,0.6,ADAM,
3,0.6,RMSProp,
4,0,SGD,
4,0,ADAM,
4,0,RMSProp,
4,0.2,SGD,
4,0.2,ADAM,
4,0.2,RMSProp,
4,0.4,SGD,
4,0.4,ADAM,
4,0.4,RMSProp,
4,0.6,SGD,
4,0.6,ADAM,
4,0.6,RMSProp,
